subject_id,fold_id,cv_scheme,branches,fusion,twfb_classifier,n_train,n_test,y_test_counts,selected_window_idx,selected_band_idx,selected_inner_score,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts
1,0,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",2,12,0.78125,0.25,0.25,0.0,0.5,"[[0, 4], [2, 2]]",False,0.75,"[2, 6]"
1,1,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",5,17,0.75,0.75,0.75,0.5,1.0,"[[2, 2], [0, 4]]",False,0.75,"[2, 6]"
1,2,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",0,1,0.78125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
1,3,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",4,8,0.71875,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
1,4,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",0,0,0.78125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
2,0,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",5,13,0.8125,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
2,1,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",2,12,0.75,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
2,2,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",5,17,0.71875,0.25,0.25,0.5,0.0,"[[2, 2], [4, 0]]",False,0.75,"[6, 2]"
2,3,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",1,12,0.75,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
2,4,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",1,4,0.78125,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
3,0,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",0,9,0.75,0.5,0.5,0.5,0.5,"[[2, 2], [2, 2]]",False,0.5,"[4, 4]"
3,1,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",0,6,0.71875,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
3,2,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",0,3,0.75,0.5,0.5,0.25,0.75,"[[1, 3], [1, 3]]",False,0.75,"[2, 6]"
3,3,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",4,7,0.78125,0.625,0.625,0.75,0.5,"[[3, 1], [2, 2]]",False,0.625,"[5, 3]"
3,4,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",0,5,0.75,0.375,0.375,0.5,0.25,"[[2, 2], [3, 1]]",False,0.625,"[5, 3]"
4,0,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",6,12,0.8125,0.0,0.0,0.0,0.0,"[[0, 4], [4, 0]]",False,0.5,"[4, 4]"
4,1,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",3,2,0.8125,0.625,0.625,0.5,0.75,"[[2, 2], [1, 3]]",False,0.625,"[3, 5]"
4,2,sjepa_5fold,twfb,weighted,ts_lda,32,8,"[4, 4]",6,3,0.84375,0.75,0.75,1.0,0.5,"[[4, 0], [2, 2]]",False,0.75,"[6, 2]"
